"domain","attribute","description","id","created_at","updated_at"
"education","school","香港理工大学","0b1ac8eb-cedb-4283-b576-260f319d1786","2025-03-26 18:40:16.273487","2025-03-26 18:40:16.273487"
"education","major","生成式AI与人文","f7aab7b1-7039-4e4e-8449-b2ada523d304","2025-03-26 18:40:16.273487","2025-03-26 18:40:16.273487"
"interest","games","dislikes open-world games due to lack of clear goals and incentives","bee93050-9192-4833-b09d-e5f416215bca","2025-03-26 18:40:16.273487","2025-03-26 18:40:16.273487"
"interest","games","new player looking for game console recommendations","d5026730-6771-4cbe-bae1-8b37b40fe669","2025-03-26 18:40:16.273487","2025-03-26 18:40:16.273487"
"interest","activity","wants to watch sunrise but finds it hard to wake up early","68fc55c5-cc2b-4800-ac3b-e2490503e78d","2025-03-26 18:40:44.821243","2025-03-26 18:40:44.821243"
"psychological","preference","is a night owl","77aa74d0-e767-43ab-9f16-690e6dd1418d","2025-03-26 18:40:44.821243","2025-03-26 18:40:44.821243"
"psychological","values","values connection with body, nature, others, and the world","a8d51f02-d4fa-457e-8800-f6a3e0e151f4","2025-03-26 18:40:44.821243","2025-03-26 18:40:44.821243"
"psychological","belief","views cities as steel jungles disconnected from nature, prefers real forests","c9944aa1-5d73-46c0-a8ae-19700321fcea","2025-03-26 18:40:44.821243","2025-03-26 18:40:44.821243"
"education","location","studying in Hong Kong","b91bbb21-7655-4405-a660-1fe96a4eece6","2025-03-26 18:40:44.821243","2025-03-26 18:40:44.821243"
"interest","sports","has been practicing basketball for 2.5 years","beaa6960-2eaa-4e87-b103-8dd4a378b2c8","2025-03-26 18:40:44.821243","2025-03-26 18:40:44.821243"
"plan","travel","plans to travel after graduation, interested in climbing Mount Fuji","cad27f83-9fa1-4530-ba1f-420d581b8b77","2025-03-26 18:41:26.245835","2025-03-26 18:41:26.245835"
"psychological","reflection","finds some movies more meaningful upon rewatching","80d06960-10a6-4f19-94d1-dba98ce0da2d","2025-03-26 18:41:26.245835","2025-03-26 18:41:26.245835"
"interest","animation","interested in anime (二次元)","974ec6dc-c3ff-4639-b970-83bea14c463b","2025-03-26 18:41:26.245835","2025-03-26 18:41:26.245835"
"psychological","behavior","enjoys revisiting favorite things (movies, music, food, cities) and wonders about nostalgia","27ea1cc4-3fb4-49f8-851e-26e51afe53d3","2025-03-26 18:41:26.245835","2025-03-26 18:41:26.245835"
"interest","sports","Has been practicing basketball for 2.5 years and interested in boxing to strengthen upper body muscles","ee22207a-2d35-4598-af0f-303be567f27a","2025-03-26 18:40:44.821243","2025-03-26 18:41:26.274449"
"interest","sports","Has been practicing basketball for 2.5 years and is interested in cycling with friends in Guangdong province","5f5ee6c1-d95d-47f8-b22c-c359a45d541e","2025-03-26 18:40:44.821243","2025-03-26 18:41:26.29737"
"interest","hobby","wants to write journal but struggles with layout design and drawing backgrounds; also wants to learn dancing but concerned about lack of coordination","82becc1d-c118-4c36-98b5-7e21b00bdb7d","2025-03-26 18:40:16.273487","2025-03-26 18:41:26.313418"
"interest","magazines","likes National Geographic magazine","c1d47244-29b0-4e51-999a-06d56f6bbf98","2025-03-26 18:42:14.323173","2025-03-26 18:42:14.323173"
"psychological","beliefs","believes instrumental music has a magical power to induce calm and deep states","d7dd4246-303a-49e5-a090-9f312f1a9ae5","2025-03-26 18:42:14.323173","2025-03-26 18:42:14.323173"
"interest","technology","interested in image processing with Python","1317b30b-6126-4def-a4fb-ce161f373d73","2025-03-26 18:42:14.323173","2025-03-26 18:42:14.323173"
"interest","photography","curious about differences between iPhone and DSLR camera effects","c00e04ac-ff32-4a40-9bc6-b5ab042acb86","2025-03-26 18:42:14.323173","2025-03-26 18:42:14.323173"
"interest","movies","Likes sci-fi movies (e.g. The Matrix), classic old movies, suspense thrillers, and nature-related documentaries. Interested in writing movie reviews and sharing opinions.","e9f0d16b-ba96-4235-bf33-6b031c8f8dc5","2025-03-26 18:40:16.273487","2025-03-26 18:42:14.360144"
"interest","music","plays guzheng and prefers instrumental music (e.g., Yanni's works) over songs","c8f6900c-ccdc-497c-9441-544497ed9e1b","2025-03-26 18:40:16.273487","2025-03-26 18:42:14.377186"
"psychological","emotional_response","Deeply moved and healed by abstract metaphors in animated films, but pauses watching movies/TV shows when emotions become too intense","03c41ec1-66f9-4020-ad2d-99d9d40e3f9b","2025-03-26 18:41:26.245835","2025-03-26 18:42:14.393332"
