"domain","attribute","description","id","created_at","updated_at"
"plan","travel","毕业想去旅行","8f0d2e8a-6db6-4a4a-86ad-78bbefded239","2025-03-26 20:56:18.233029","2025-03-26 20:56:18.233029"
"plan","hiking","想攀登富士山","96733547-6617-489a-935a-02f99cd379c0","2025-03-26 20:56:18.233029","2025-03-26 20:56:18.233029"
"plan","cycling","想和朋友去骑行","367edd2e-755f-4d21-8f69-bdd64499f3ee","2025-03-26 20:56:18.233029","2025-03-26 20:56:18.233029"
"interest","opinion","电影比电视剧精致很多","dc61267f-bdc6-4bdd-b91f-1bdf7f27169b","2025-03-26 20:56:18.233029","2025-03-26 20:56:18.233029"
"interest","sharing","希望和他人分享自己的喜好和观点","5b1e838e-e161-4a6a-b42e-e30e31ee44c9","2025-03-26 20:56:18.233029","2025-03-26 20:56:18.233029"
"interest","animation","会被动画电影当中抽象的隐喻深深地打动和治愈","ba17437f-9386-4f87-b709-14f41c4249c7","2025-03-26 20:56:18.233029","2025-03-26 20:56:18.233029"
"basic_info","school","香港理工大学","fd83a743-dc3d-4363-b57c-a26a307389b6","2025-03-26 20:55:53.217831","2025-03-26 20:55:53.217831"
"education","major","生成式AI与人文","35b83c9f-b4b6-4f96-bf49-dd5d8ed1b213","2025-03-26 20:55:53.217831","2025-03-26 20:55:53.217831"
"interest","games","不太喜欢开放世界的游戏","f34891f5-eead-43ef-9e59-462af562087c","2025-03-26 20:55:53.217831","2025-03-26 20:55:53.217831"
"interest","games_level","我是新手玩家","44ab8f0c-cf14-4172-934c-5555586554e7","2025-03-26 20:55:53.217831","2025-03-26 20:55:53.217831"
"interest","perspective","喜欢连接的感觉","baf4a893-1778-4fdc-a545-f4fb7e2a4a01","2025-03-26 20:56:02.331099","2025-03-26 20:56:02.331099"
"education","city","在香港留学","fdbce952-d095-4522-bed0-21c7980f1f09","2025-03-26 20:56:02.331099","2025-03-26 20:56:02.331099"
"interest","nostalgia","喜欢重温喜欢的事物，例如电影、音乐、食物、城市等","4ee06067-a250-42f2-b2dd-c775082223e3","2025-03-26 20:56:18.233029","2025-03-26 20:56:18.233029"
"interest","hobby","会弹古筝、想尝试攀岩和喜欢电影","5179373e-d494-4a06-a733-3e0fe276a355","2025-03-26 20:55:53.217831","2025-03-26 20:56:18.274467"
"interest","writing","想写手帐，但觉得版面设计好难; 觉得写影评有难度，但是对发表自己的看法很有兴趣","8d083137-31b9-488d-80dd-cf826dfcecff","2025-03-26 20:55:53.217831","2025-03-26 20:56:18.317067"
"interest","sports","User has practiced boxing and has been playing basketball for two and a half years.","9c349283-8633-4320-8ddf-829b552fed2a","2025-03-26 20:56:02.331099","2025-03-26 20:56:18.339716"
"interest","emotion","因情绪很强烈而暂停观看电影或电视剧","af538be4-3488-40de-a283-45b967d7bcc0","2025-03-26 20:56:29.078534","2025-03-26 20:56:29.078534"
"interest","genre","喜欢悬疑惊悚片","6c9b55e2-050d-4138-8e69-f0cc5c5f35fc","2025-03-26 20:56:29.078534","2025-03-26 20:56:29.078534"
"interest","documentaries","喜欢看自然相关的纪录片","fe295df0-cc9c-4244-add6-3a27bd693354","2025-03-26 20:56:29.078534","2025-03-26 20:56:29.078534"
"interest","magazines","喜欢国家地理杂志","6641d25c-f069-45c1-a5ae-2f5c7379361c","2025-03-26 20:56:29.078534","2025-03-26 20:56:29.078534"
"interest","music","更喜欢纯音乐","6c197901-8621-46ee-bfb3-54f1df395110","2025-03-26 20:56:29.078534","2025-03-26 20:56:29.078534"
"interest","music_artist","喜欢Yanni的作品","83015013-3809-43ac-8664-fc7768d58de1","2025-03-26 20:56:29.078534","2025-03-26 20:56:29.078534"
"psychological","questions","对音乐的喜好类型能反映人的性格吗？","7eed4462-8edb-4829-945d-a5fc3a9180ff","2025-03-26 20:56:29.078534","2025-03-26 20:56:29.078534"
"psychological","motivations","觉得用python进行图像处理是一件很酷的事情","27dae298-69aa-4594-9997-c8b32dd42dc0","2025-03-26 20:56:29.078534","2025-03-26 20:56:29.078534"
"interest","movies","喜欢科幻电影，例如经典的黑客帝国，还喜欢看经典老电影，以及一些以前觉得无趣，现在看才觉得细腻隽永的电影。","a80b3f54-b591-471f-b668-545c00c737f3","2025-03-26 20:55:53.217831","2025-03-26 20:56:29.11645"
"psychological","beliefs","觉得城市就是钢铁丛林 和 觉得纯音乐有一种神奇的力量","2bf53dac-799d-4520-91f5-ceb76c5b430f","2025-03-26 20:56:02.331099","2025-03-26 20:56:29.139172"
