"domain","attribute","description","id","created_at","updated_at"
"interest","hobby","会弹古筝, 拳击, and 喜欢电影","e0f61900-424b-4f3f-89e7-951d1c714057","2025-03-26 21:00:41.075479","2025-03-26 21:01:03.13357"
"interest","movies","喜欢科幻电影，例如经典的黑客帝国，并喜欢看自然相关的纪录片","02456bb3-9e58-4c89-9b44-559aa2cc377e","2025-03-26 21:00:41.075479","2025-03-26 21:01:13.623515"
"psychological","values","喜欢真正的森林和认为对音乐的喜好类型能反映人的性格","8c7bad17-523b-455e-a76d-8cac5b165d9d","2025-03-26 21:00:49.732153","2025-03-26 21:01:13.637194"
"education","school","香港理工大学","42f6234b-d606-4b4d-b3f9-212680c5d792","2025-03-26 21:00:41.075479","2025-03-26 21:00:41.075479"
"education","major","生成式AI与人文","34a436cf-03bb-437c-9877-b24101e8ebfe","2025-03-26 21:00:41.075479","2025-03-26 21:00:41.075479"
"interest","preference","不太喜欢开放世界的游戏","6fd56818-7ef3-41d9-b588-5c645992e96f","2025-03-26 21:00:41.075479","2025-03-26 21:00:41.075479"
"interest","gaming","是新手玩家","f3f8391e-dadd-4904-835f-747cf0ae55c9","2025-03-26 21:00:41.075479","2025-03-26 21:00:41.075479"
"interest","writing","想写手帐但觉得版面设计困难","6f012f72-4255-4607-995e-8319dfba791d","2025-03-26 21:00:41.075479","2025-03-26 21:00:41.075479"
"psychological","motivations","喜欢连接的感觉","77dbe27c-4baf-4405-b9fe-7cd4387a6ea5","2025-03-26 21:00:49.732153","2025-03-26 21:00:49.732153"
"work","working_industry","在香港留学","78078de3-4a93-4da8-b573-9d0f6ab859c9","2025-03-26 21:00:49.732153","2025-03-26 21:00:49.732153"
"plan","travel","毕业想去旅行","7a2b871c-d183-43fd-b708-aab222d6aed5","2025-03-26 21:01:03.106089","2025-03-26 21:01:03.106089"
"plan","activity","想和朋友去骑行","4ebc17c0-c077-4be8-b929-b24d442144db","2025-03-26 21:01:03.106089","2025-03-26 21:01:03.106089"
"opinion","movies_vs_tv","电影比电视剧精致很多","2c448752-ac1c-492f-bce1-319f424e2f56","2025-03-26 21:01:03.106089","2025-03-26 21:01:03.106089"
"interest","movie_experience","以前看的电影觉得无趣，现在看才觉得细腻隽永","440926bc-5866-4ad1-ae1a-c767d0ca8f2b","2025-03-26 21:01:03.106089","2025-03-26 21:01:03.106089"
"interest","writing_reviews","觉得写影评有难度，但希望分享自己的看法","008aa11f-d0ac-461f-958b-3b93123af295","2025-03-26 21:01:03.106089","2025-03-26 21:01:03.106089"
"emotional_response","animated_movies","被动画电影当中的抽象隐喻深深打动和治愈","dff448ed-35ba-4b8a-94e0-1320fa071a1d","2025-03-26 21:01:03.106089","2025-03-26 21:01:03.106089"
"interest","nostalgia","喜欢重温喜欢的事物，例如电影、音乐、食物、城市等","95bb8908-ce0d-4022-b97b-4075683239f9","2025-03-26 21:01:03.106089","2025-03-26 21:01:03.106089"
"emotional_response","intense_feelings","有时看电影或电视剧，会因为情绪很强烈而暂停观看","ec53f75e-1995-4c51-b8fa-c80853dc7ee2","2025-03-26 21:01:03.106089","2025-03-26 21:01:03.106089"
"interest","books","喜欢国家地理杂志","cc3cd83a-dbb1-4229-b261-85b582067fd1","2025-03-26 21:01:13.571202","2025-03-26 21:01:13.571202"
"interest","sports","练习篮球时长两年半","f412e799-e88e-40c0-ac62-d1d8b4d945f2","2025-03-26 21:01:13.571202","2025-03-26 21:01:13.571202"
"interest","music","更喜欢纯音乐，而不是古典乐","62614c86-ce8a-400b-bcb1-cd77977f87a9","2025-03-26 21:01:13.571202","2025-03-26 21:01:13.571202"
"interest","music","喜欢Yanni的作品","9f0a72f0-8024-497e-8351-57e5b29f104a","2025-03-26 21:01:13.571202","2025-03-26 21:01:13.571202"
"psychological","beliefs","觉得纯音乐有一种神奇的力量，能让人进入一种平静又深邃的状态","90d61dcb-87b1-4eda-8dc9-aca240f18af9","2025-03-26 21:01:13.571202","2025-03-26 21:01:13.571202"
